rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
518,00-0039811,RB,11.582581257059267,3,MarShawn Lloyd,GB
519,00-0037231,WR,11.044902323905617,2,Kevin Austin,NO
520,00-0039677,QB,10.899602455086727,2,Sam Hartman,WAS
521,00-0036534,TE,10.135417766813141,3,Shane Zylstra,DET
522,00-0038710,TE,9.871576803159934,5,Blake Whiteheart,CLE
523,00-0039613,TE,9.807791597249098,17,Dallin Holker,
524,00-0038498,TE,9.289361844018629,6,E.J. Jenkins,PHI
525,00-0034365,TE,9.183990830945005,3,Ian Thomas,LV
526,00-0036370,RB,9.1536051964144,5,Joshua Kelley,
527,00-0038551,RB,9.121253844255781,2,Kendre Miller,NO
528,00-0035645,WR,8.941955795451722,2,Gunner Olszewski,NYG
529,00-0035639,WR,8.93801567208505,2,Parris Campbell,DAL
530,00-0035572,TE,8.067170889687395,8,Parker Hesse,
531,00-0031690,TE,7.991820277385702,6,Eric Tomlinson,
532,00-0036924,RB,7.723431672754769,1,Michael Carter,TEN
533,00-0038488,TE,7.643464886490866,17,Brady Russell,SEA
534,00-0038456,TE,7.523394362063095,15,Travis Vokolek,ARI
535,00-0037277,TE,7.291435176318837,5,Teagan Quitoriano,ARI
536,00-0037609,RB,6.891711381357163,3,Aaron Shampklin,
537,00-0036640,TE,6.748426718686266,3,Zach Davidson,NYG
538,00-0036176,WR,6.73957069300279,2,Mason Kinsey,TEN
539,00-0037317,TE,6.723569314591792,4,Nick Muse,NYJ
540,00-0038728,WR,6.343255122232147,2,Jared Wayne,HOU
541,00-0038598,QB,6.317868195691507,1,Jaren Hall,
542,00-0032141,TE,6.285168968631586,3,Geoff Swaim,
543,00-0036254,WR,6.228257802813161,2,Collin Johnson,
544,00-0034970,TE,6.091063459146381,4,Irv Smith,
545,00-0036842,RB,5.711754381199116,3,Kene Nwangwu,NYJ
546,00-0035547,TE,5.688095090810305,3,Jody Fortson,
547,00-0036096,RB,5.191641642596586,2,J.J. Taylor,
548,00-0039757,RB,4.7569532323574135,2,Terrell Jennings,NE
